Transaction ID,Transaction Date,Price,Quantity,Revenue,Product,Customer ID
T100000001,2012-01-01,$404.46,18,$7280.28,Lomina,A100021
T100000002,2012-01-01,$202.23,9,$1820.07,Lomina,A103221
T100000003,2012-01-01,$179.76,8,$1438.08,Lomina,A112321
T100000004,2012-01-01,$831.39,37,$30761.43,Lomina,A122321
T100000005,2012-01-01,$1101.03,49,$53950.47,Lomina,A123921
T100000006,2012-01-01,$224.7,10,$2247,Lomina,A130221
T100000007,2012-01-01,$247.17,11,$2718.87,Lomina,A132821
T100000008,2012-01-01,$247.17,11,$2718.87,Lomina,A141121
T100000009,2012-01-01,$247.17,11,$2718.87,Lomina,A149221
T100000010,2012-01-01,$786.45,35,$27525.75,Lomina,A157121
T100000011,2012-01-01,$202.23,9,$1820.07,Lomina,A160021
T100000012,2012-01-01,$247.17,11,$2718.87,Lomina,A160821
T100000013,2012-01-01,$269.64,12,$3235.68,Lomina,A161421
T100000014,2012-01-01,$494.34,22,$10875.48,Lomina,A164921
T100000015,2012-01-01,$179.76,8,$1438.08,Lomina,A173121
T100000016,2012-01-01,$179.76,8,$1438.08,Lomina,A174821
T100000017,2012-01-01,$178.69,1,$178.69,Lomina,A179321
T100000018,2012-01-01,$561.75,25,$14043.75,Lomina,A179321
T100000019,2012-01-01,$786.45,35,$27525.75,Lomina,A181421
T100000020,2012-01-01,$224.7,10,$2247,Lomina,A187221
T100000021,2012-01-01,$179.76,8,$1438.08,Lomina,A189621
T100000022,2012-01-01,$561.75,25,$14043.75,Lomina,A198121
T100000023,2012-01-01,$292.11,13,$3797.43,Lomina,A198621
T100000024,2012-01-01,$1450.92,24,$34822.08,Wedicare,A174821
T100000025,2012-01-01,$5682.77,94,$534180.38,Wedicare,A130021
T100000026,2012-01-01,$2116.46,35,$74076.1,Wedicare,A122321
T100000027,2012-01-01,$3143.66,52,$163470.32,Wedicare,A141121
T100000028,2012-01-01,$3869.12,64,$247623.68,Wedicare,A164421
T100000029,2012-01-01,$3627.3,60,$217638,Wedicare,A160021
T100000030,2012-01-01,$426.93,8,$3415.44,Wedicare,A105221
T100000031,2012-01-01,$4110.94,77,$316542.38,Wedicare,A197221
T100000032,2012-01-01,$694.43,13,$9027.59,Wedicare,A174821
T100000033,2012-01-01,$426.93,8,$3415.44,Wedicare,A113321
T100000034,2012-01-01,$533.93,10,$5339.3,Wedicare,A197521
T100000035,2012-01-01,$6630.79,112,$742648.48,Wedicare,A123521
T100000036,2012-01-01,$816.41,18,$14695.38,Tridesta,A129421
T100000037,2012-01-01,$862.42,19,$16385.98,Tridesta,A180821
T100000038,2012-01-01,$3811.34,84,$320152.56,Tridesta,A141121
T100000039,2012-01-01,$1134.2,25,$28355,Tridesta,A130221
T100000040,2012-01-01,$2268.4,50,$113420,Tridesta,A119121
